city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Ackley,42.555534,-93.0529775,1900190,Franklin,,,19069,Iowa,
Akron,42.8288818,-96.5594773,1900775,Plymouth,x,,19149,Iowa,
Bolan,43.371906,-93.1193681,1907255,Worth,x,,19195,Iowa,CDP
Wapello,41.1814193,-91.1854273,1982200,Louisa,x,,19115,Iowa,
Washburn,42.4116556,-92.2674061,1982290,Black Hawk,x,,19013,Iowa,CDP
Washington,41.3014077,-91.6916417,1982335,Washington,x,,19183,Iowa,
Washta,42.5755429,-95.7175088,1982380,Cherokee,x,,19035,Iowa,
Waterloo,42.492786,-92.3425775,1982425,Black Hawk,x,,19013,Iowa,
Waterville,43.2077573,-91.297633,1982470,Allamakee,x,,19005,Iowa,
Watkins,41.8911137,-91.9862916,1982515,Benton,x,,19011,Iowa,CDP
Waucoma,43.056086,-92.0332254,1982650,Fayette,x,,19065,Iowa,
Waukee,41.6119903,-93.8855768,1982695,Dallas,x,,19049,Iowa,
Waukon,43.2694208,-91.475695,1982740,Allamakee,x,,19005,Iowa,
Bonaparte,40.6980874,-91.8032228,1907345,Van Buren,x,,19177,Iowa,
Waverly,42.7272032,-92.4668511,1982875,Bremer,x,,19017,Iowa,
Wayland,41.1472434,-91.6607207,1982965,Henry,x,,19087,Iowa,
Webb,42.9485835,-95.0119338,1983010,Clay,x,,19041,Iowa,
Webster,41.4383427,-92.1690689,1983055,Keokuk,x,,19107,Iowa,
Webster City,42.4694321,-93.8159149,1983145,Hamilton,x,,19079,Iowa,
Weldon,40.8974992,-93.7349421,1983190,Decatur,x,,19053,Iowa,
Wellman,41.4641806,-91.8382273,1983280,Washington,x,,19183,Iowa,
Wellsburg,42.4328011,-92.9250864,1983325,Grundy,x,,19075,Iowa,
Welton,41.9080812,-90.5954147,1983370,Clinton,x,,19045,Iowa,
Wesley,43.0886148,-93.9931467,1983415,Kossuth,x,,19109,Iowa,
Bondurant,41.7019329,-93.4607681,1907390,Polk,x,,19153,Iowa,
West Amana,41.808061,-91.9637905,1983505,Iowa,x,,19095,Iowa,CDP
West Bend,42.9600447,-94.4450576,1983550,Kossuth,,,19109,Iowa,
West Bend,42.9600447,-94.4450576,1983550,Palo Alto,x,x,19147,Iowa,
West Branch,41.6714086,-91.3465521,1983595,Cedar,x,x,19031,Iowa,
West Branch,41.6714086,-91.3465521,1983595,Johnson,,,19103,Iowa,
West Burlington,40.8250386,-91.1565357,1983685,Des Moines,x,,19057,Iowa,
West Chester,41.3389036,-91.8176711,1983775,Washington,x,,19183,Iowa,
West Des Moines,41.5772115,-93.711332,1983910,Dallas,,,19049,Iowa,
West Des Moines,41.5772115,-93.711332,1983910,Polk,x,x,19153,Iowa,
West Liberty,41.5700231,-91.2637695,1984315,Muscatine,x,,19139,Iowa,
Boone,42.0597047,-93.8802273,1907480,Boone,x,,19015,Iowa,
West Okoboji,43.3532972,-95.1624963,1984450,Dickinson,x,,19059,Iowa,
Weston,41.340833,-95.740833,1984495,Pottawattamie,x,,19155,Iowa,CDP
West Point,40.7167039,-91.4501542,1984585,Lee,x,,19111,Iowa,
West Union,42.9627564,-91.8082167,1984765,Fayette,x,,19065,Iowa,
Westfield,42.7562147,-96.6039438,1984090,Plymouth,x,,19149,Iowa,
Westgate,42.7699822,-91.9962845,1984180,Fayette,x,,19065,Iowa,
Westphalia,41.7197101,-95.3947221,1984540,Shelby,x,,19165,Iowa,
Westside,42.0760967,-95.0988811,1984630,Crawford,x,,19047,Iowa,
Westwood,40.9655832,-91.6237738,1984835,Henry,x,,19087,Iowa,
What Cheer,41.401397,-92.3546288,1984900,Keokuk,x,,19107,Iowa,
Bouton,41.8513741,-94.0091208,1907660,Dallas,x,,19049,Iowa,
Wheatland,41.8316906,-90.8382014,1984945,Clinton,x,,19045,Iowa,
Whiting,42.1269338,-96.1508521,1985215,Monona,x,,19133,Iowa,
Whittemore,43.0634809,-94.4221252,1985260,Kossuth,x,,19109,Iowa,
Whitten,42.2608178,-93.0054795,1985305,Hardin,x,,19083,Iowa,
Willey,41.9791526,-94.8222064,1985710,Carroll,x,,19027,Iowa,
Williams,42.489423,-93.5446544,1985800,Hamilton,x,,19079,Iowa,
Williamsburg,41.6611187,-92.0090673,1985845,Iowa,x,,19095,Iowa,
Williamson,41.0877764,-93.2549305,1985935,Lucas,x,,19117,Iowa,
Wilton,41.5889154,-91.0168179,1986070,Cedar,,,19031,Iowa,
Wilton,41.5889154,-91.0168179,1986070,Muscatine,x,x,19139,Iowa,
Boxholm,42.1758111,-94.106069,1907750,Boone,x,,19015,Iowa,
Windsor Heights,41.6038268,-93.7105118,1986250,Polk,x,,19153,Iowa,
Winfield,41.123083,-91.4412683,1986385,Henry,x,,19087,Iowa,
Winterset,41.3308237,-94.0138393,1986520,Madison,x,,19121,Iowa,
Winthrop,42.4733189,-91.7343327,1986565,Buchanan,x,,19019,Iowa,
Wiota,41.4024223,-94.8885302,1986610,Cass,x,,19029,Iowa,
Woden,43.2330157,-93.9091158,1986700,Hancock,x,,19081,Iowa,
Woodbine,41.7340073,-95.7074104,1986835,Harrison,x,,19085,Iowa,
Woodburn,41.0119428,-93.5991047,1986880,Clarke,x,,19039,Iowa,
Woodward,41.857276,-93.9222218,1986970,Dallas,x,,19049,Iowa,
Woolstock,42.5648713,-93.8427532,1987015,Wright,x,,19197,Iowa,
Boyden,43.1910906,-96.005853,1907840,Sioux,x,,19167,Iowa,
Worthington,42.3963877,-91.1198617,1987060,Dubuque,x,,19061,Iowa,
Wyoming,42.0591801,-91.0073701,1987240,Jones,x,,19105,Iowa,
Yale,41.7766528,-94.3580219,1987285,Guthrie,x,,19077,Iowa,
Yetter,42.3160934,-94.8460959,1987375,Calhoun,x,,19025,Iowa,
Yorktown,40.7333264,-95.1569266,1987420,Page,x,,19145,Iowa,
Zearing,42.1610971,-93.2971505,1987555,Story,x,,19169,Iowa,
Zwingle,42.2977891,-90.6876307,1987690,Dubuque,x,x,19061,Iowa,
Zwingle,42.2977891,-90.6876307,1987690,Jackson,,,19097,Iowa,
Burnside,42.35,-94.11,1909595,Webster,,x,19187,Iowa,unincorporated community
Troy Mills,42.29,-91.68,1979005,Linn,,x,19113,Iowa,unincorporated community
Braddyville,40.5788801,-95.0299764,1907930,Page,x,,19145,Iowa,
Bradford,42.6330321,-93.2449247,1908020,Franklin,x,,19069,Iowa,CDP
Bradgate,42.8030275,-94.4180271,1908065,Humboldt,x,,19091,Iowa,
Albert City,42.7778617,-94.9497833,1900865,Buena Vista,x,,19021,Iowa,
Brandon,42.3144359,-92.0021228,1908155,Buchanan,x,,19019,Iowa,
Brayton,41.5444325,-94.9241522,1908200,Audubon,x,,19009,Iowa,
Breda,42.1816509,-94.9769338,1908290,Carroll,x,,19027,Iowa,
Bridgewater,41.2449872,-94.6688623,1908425,Adair,x,,19001,Iowa,
Brighton,41.1747394,-91.8196149,1908470,Washington,x,,19183,Iowa,
Bristow,42.7738635,-92.9074177,1908560,Butler,x,,19023,Iowa,
