County or equivalent,State or equivalent,Population (2020 census),Area (mi^2)
Autauga,Alabama,"58,805",594.44
Baldwin,Alabama,"231,767",1589.78
Barbour,Alabama,"25,223",884.88
Bibb,Alabama,"22,293",622.58
Blount,Alabama,"59,134",644.78
Bullock,Alabama,"10,357",622.8
Butler,Alabama,"19,051",776.83
Calhoun,Alabama,"116,441",605.87
Chambers,Alabama,"34,772",596.53
Cherokee,Alabama,"24,971",553.7
Chilton,Alabama,"45,014",692.85
Choctaw,Alabama,"12,665",913.5
Clarke,Alabama,"23,087",1238.46
Clay,Alabama,"14,236",603.96
Cleburne,Alabama,"15,056",560.1
Coffee,Alabama,"53,465",678.97
Colbert,Alabama,"57,227",592.62
Conecuh,Alabama,"11,597",850.16
Coosa,Alabama,"10,387",650.93
Covington,Alabama,"37,570",1030.46
Crenshaw,Alabama,"13,194",608.84
Cullman,Alabama,"87,866",734.84
Dale,Alabama,"49,326",561.15
Dallas,Alabama,"38,462",978.69
DeKalb,Alabama,"71,608",777.09
Elmore,Alabama,"87,977",618.48
Escambia,Alabama,"36,757",945.08
Etowah,Alabama,"103,436",534.99
Fayette,Alabama,"16,321",627.66
Franklin,Alabama,"32,113",633.82
Geneva,Alabama,"26,659",574.41
Greene,Alabama,"7,720",647.11
Hale,Alabama,"14,785",643.94
Henry,Alabama,"17,146",561.75
Houston,Alabama,"107,202",579.82
Jackson,Alabama,"52,579",1077.87
Jefferson,Alabama,"674,721",1111.28
Lamar,Alabama,"13,972",604.85
Lauderdale,Alabama,"93,564",667.7
Lawrence,Alabama,"33,073",690.68
Lee,Alabama,"174,241",607.54
Limestone,Alabama,"103,570",559.94
Lowndes,Alabama,"10,311",715.91
Macon,Alabama,"19,532",608.89
Madison,Alabama,"388,153",801.59
Marengo,Alabama,"19,323",976.88
Marion,Alabama,"29,341",742.29
Marshall,Alabama,"97,612",565.84
Mobile,Alabama,"414,809",1229.44
Monroe,Alabama,"19,772",1025.67
Montgomery,Alabama,"228,954",784.25
Morgan,Alabama,"123,421",579.34
Perry,Alabama,"8,511",719.66
Pickens,Alabama,"19,123",881.41
Pike,Alabama,"33,009",672.09
Randolph,Alabama,"21,967",580.55
Russell,Alabama,"59,183",641.14
St. Clair,Alabama,"91,103",631.9
Shelby,Alabama,"223,024",784.93
Sumter,Alabama,"12,345",903.89
Talladega,Alabama,"82,149",736.78
Tallapoosa,Alabama,"41,311",716.52
Tuscaloosa,Alabama,"227,036",1321.75
Walker,Alabama,"65,342",791.19
Washington,Alabama,"15,388",1080.21
Wilcox,Alabama,"10,600",888.5
Winston,Alabama,"23,540",612.98
Aleutians East Borough,Alaska,"3,420",6985
Aleutians West Census Area,Alaska,"5,232",4393
"Anchorage, Municipality of",Alaska,"291,247",1707
Bethel Census Area,Alaska,"18,666",40627
Bristol Bay Borough,Alaska,844,482
Chugach Census Area,Alaska,"7,102",9530
Copper River Census Area,Alaska,"2,617",24692
Denali Borough,Alaska,"1,619",12641
Dillingham Census Area,Alaska,"4,857",18334
Fairbanks North Star Borough,Alaska,"95,655",7335
Haines Borough,Alaska,"2,080",2343
Hoonah–Angoon Census Area,Alaska,"2,365",6555
"Juneau, City and Borough of",Alaska,"32,255",2704
Kenai Peninsula Borough,Alaska,"58,799",16017
Ketchikan Gateway Borough,Alaska,"13,948",4857
Kodiak Island Borough,Alaska,"13,101",6689
Kusilvak Census Area,Alaska,"8,368",17077
Lake and Peninsula Borough,Alaska,"1,476",23832
Matanuska-Susitna Borough,Alaska,"107,081",24707
Nome Census Area,Alaska,"10,046",22969
North Slope Borough,Alaska,"11,031",88824
Northwest Arctic Borough,Alaska,"7,793",35663
Petersburg Borough,Alaska,"3,398",2901
Prince of Wales – Hyder Census Area,Alaska,"5,753",5268
"Sitka, City and Borough of",Alaska,"8,458",2870
"Skagway, Municipality of",Alaska,"1,240",434
Southeast Fairbanks Census Area,Alaska,"6,808",24831
"Wrangell, City and Borough of",Alaska,"2,127",2556
"Yakutat, City and Borough of",Alaska,662,7623
Yukon–Koyukuk Census Area,Alaska,"5,343",145576
Eastern District,American Samoa,"17,059",25.69
Manu'a District,American Samoa,832,22.29
Rose Atoll (Rose Island),American Samoa,0,0.02
Swains Island,American Samoa,0,0.94
Western District,American Samoa,"31,819",27.51
Apache,Arizona,"66,021",11218
Cochise,Arizona,"125,447",6219
Coconino,Arizona,"145,101",18661
Gila,Arizona,"53,272",4796
Graham,Arizona,"38,533",4641
Greenlee,Arizona,"9,563",1848
La Paz,Arizona,"16,557",4513
Maricopa,Arizona,"4,420,568",9224
Mohave,Arizona,"213,267",13470
Navajo,Arizona,"106,717",9959
Pima,Arizona,"1,043,433",9189
Pinal,Arizona,"425,264",5374
Santa Cruz,Arizona,"47,669",1238
Yavapai,Arizona,"236,209",8128
Yuma,Arizona,"203,881",5519
Arkansas,Arkansas,"17,149",1033.79
Ashley,Arkansas,"19,062",939.08
Baxter,Arkansas,"41,627",586.74
Benton,Arkansas,"284,333",884.86
Boone,Arkansas,"37,373",601.82
Bradley,Arkansas,"10,545",654.38
Calhoun,Arkansas,"4,739",632.54
Carroll,Arkansas,"28,260",638.81
Chicot,Arkansas,"10,208",690.88
Clark,Arkansas,"21,446",882.6
Clay,Arkansas,"14,552",641.12
Cleburne,Arkansas,"24,711",591.91
Cleveland,Arkansas,"7,550",598.8
Columbia,Arkansas,"22,801",766.86
Conway,Arkansas,"20,715",566.66
Craighead,Arkansas,"111,231",712.98
Crawford,Arkansas,"60,133",604.2
Crittenden,Arkansas,"48,163",636.74
Cross,Arkansas,"16,833",622.33
Dallas,Arkansas,"6,482",668.16
Desha,Arkansas,"11,395",819.52
Drew,Arkansas,"17,350",835.65
Faulkner,Arkansas,"123,498",664.01
Franklin,Arkansas,"17,097",619.69
Fulton,Arkansas,"12,075",620.32
Garland,Arkansas,"100,180",734.57
Grant,Arkansas,"17,958",633.01
Greene,Arkansas,"45,736",579.65
Hempstead,Arkansas,"20,065",741.36
Hot Spring,Arkansas,"33,040",622.16
Howard,Arkansas,"12,785",595.2
Independence,Arkansas,"37,938",771.57
Izard,Arkansas,"13,577",584.02
Jackson,Arkansas,"16,755",641.45
Jefferson,Arkansas,"67,260",913.7
Johnson,Arkansas,"25,749",682.74
Lafayette,Arkansas,"6,308",545.07
Lawrence,Arkansas,"16,216",592.34
Lee,Arkansas,"8,600",619.47
Lincoln,Arkansas,"12,941",572.17
Little River,Arkansas,"12,026",564.87
Logan,Arkansas,"21,131",731.5
Lonoke,Arkansas,"74,015",802.43
Madison,Arkansas,"16,521",837.06
Marion,Arkansas,"16,826",640.39
Miller,Arkansas,"42,600",637.48
Mississippi,Arkansas,"40,685",919.73
Monroe,Arkansas,"6,799",621.41
Montgomery,Arkansas,"8,484",800.29
Nevada,Arkansas,"8,310",620.78
Newton,Arkansas,"7,225",823.18
Ouachita,Arkansas,"22,650",739.63
Perry,Arkansas,"10,019",560.47
Phillips,Arkansas,"16,568",727.29
Pike,Arkansas,"10,171",613.88
Poinsett,Arkansas,"22,965",763.39
Polk,Arkansas,"19,221",862.42
Pope,Arkansas,"63,381",830.79
Prairie,Arkansas,"8,282",675.76
Pulaski,Arkansas,"399,125",807.84
Randolph,Arkansas,"18,571",656.04
St. Francis,Arkansas,"23,090",642.4
Saline,Arkansas,"123,416",730.46
Scott,Arkansas,"9,836",898.09
Searcy,Arkansas,"7,828",668.51
Sebastian,Arkansas,"127,799",546.04
Sevier,Arkansas,"15,839",581.35
Sharp,Arkansas,"17,271",606.35
Stone,Arkansas,"12,359",609.43
Union,Arkansas,"39,054",1055.27
Van Buren,Arkansas,"15,796",724.32
Washington,Arkansas,"245,871",951.72
White,Arkansas,"76,822",1042.36
Woodruff,Arkansas,"6,269",594.05
Yell,Arkansas,"20,263",948.84
Alameda,California,"1,682,353",738
Alpine,California,"1,204",739
Amador,California,"40,474",606
Butte,California,"211,632",1640
Calaveras,California,"45,292",1020
Colusa,California,"21,839",1151
Contra Costa,California,"1,165,927",720
Del Norte,California,"27,743",1008
El Dorado,California,"191,185",1712
Fresno,California,"1,008,654",5963
Glenn,California,"28,917",1315
Humboldt,California,"136,463",3573
Imperial,California,"179,702",4175
Inyo,California,"19,016",10192
Kern,California,"909,235",8142
Kings,California,"152,486",1390
Lake,California,"68,163",1258
Lassen,California,"32,730",4558
Los Angeles,California,"10,014,009",4060
Madera,California,"156,255",2138
Marin,California,"262,321",520
Mariposa,California,"17,131",1451
Mendocino,California,"91,601",3509
Merced,California,"281,202",1929
Modoc,California,"8,700",3944
Mono,California,"13,195",3044
Monterey,California,"404,739",3322
Napa,California,"138,019",754
Nevada,California,"102,241",958
Orange,California,"3,186,989",948
Placer,California,"404,739",1407
Plumas,California,"19,790",2554
Riverside,California,"2,418,185",7208
Sacramento,California,"1,585,055",966
San Benito,California,"64,209",1389
San Bernardino,California,"2,181,654",20062
San Diego,California,"3,298,634",4204
"San Francisco, City and County of",California,"873,965",47
San Joaquin,California,"779,233",1399
San Luis Obispo,California,"282,424",3304
San Mateo,California,"764,442",449
Santa Barbara,California,"448,229",2738
Santa Clara,California,"1,936,259",1291
Santa Cruz,California,"270,861",446
Shasta,California,"182,155",3786
Sierra,California,"3,236",953
Siskiyou,California,"44,076",6287
Solano,California,"453,491",828
Sonoma,California,"488,863",1576
Stanislaus,California,"552,878",1495
Sutter,California,"99,633",603
Tehama,California,"65,829",2951
Trinity,California,"16,112",3179
Tulare,California,"473,117",4824
Tuolumne,California,"55,620",2236
Ventura,California,"843,843",1846
Yolo,California,"216,403",1012
Yuba,California,"81,575",630
Adams,Colorado,"519,572",1182.29
Alamosa,Colorado,"16,376",723.21
Arapahoe,Colorado,"655,070",804.41
Archuleta,Colorado,"13,359",1354.53
Baca,Colorado,"3,506",2558.48
Bent,Colorado,"5,650",1541.07
Boulder,Colorado,"330,758",740.48
"Broomfield, City and County of",Colorado,"74,112",33.57
Chaffee,Colorado,"19,476",1014.12
Cheyenne,Colorado,"1,748",1781.9
Clear Creek,Colorado,"9,397",396.53
Conejos,Colorado,"7,461",1290.22
Costilla,Colorado,"3,499",1229.38
Crowley,Colorado,"5,922",800.27
Custer,Colorado,"4,704",739.24
Delta,Colorado,"31,196",1149.44
"Denver, City and County of",Colorado,"715,522",155.66
Dolores,Colorado,"2,326",1076.93
Douglas,Colorado,"357,978",842.3
Eagle,Colorado,"55,731",1700.76
Elbert,Colorado,"26,062",1849.08
El Paso,Colorado,"730,395",2128.6
Fremont,Colorado,"48,939",1533.09
Garfield,Colorado,"61,685",2958.23
Gilpin,Colorado,"5,808",150.15
Grand,Colorado,"15,717",1868.53
Gunnison,Colorado,"16,918",3259.22
Hinsdale,Colorado,788,1123.35
Huerfano,Colorado,"6,820",1592.37
Jackson,Colorado,"1,379",1619.75
Jefferson,Colorado,"582,910",772.85
Kiowa,Colorado,"1,446",1785.9
Kit Carson,Colorado,"7,087",2162.43
Lake,Colorado,"7,436",383.55
La Plata,Colorado,"55,638",1700.44
Larimer,Colorado,"359,066",2631.75
Las Animas,Colorado,"14,555",4773.27
Lincoln,Colorado,"5,675",2585.21
Logan,Colorado,"21,528",1845.31
Mesa,Colorado,"155,703",3345.69
Mineral,Colorado,865,878.16
Moffat,Colorado,"13,292",4755.86
Montezuma,Colorado,"25,849",2035.8
Montrose,Colorado,"42,679",2246.43
Morgan,Colorado,"29,111",1293.83
Otero,Colorado,"18,690",1267.66
Ouray,Colorado,"4,874",542.3
Park,Colorado,"17,390",2209.36
Phillips,Colorado,"4,530",668.3
Pitkin,Colorado,"17,358",970.37
Prowers,Colorado,"11,999",1645.37
Pueblo,Colorado,"168,162",2396.77
Rio Blanco,Colorado,"6,529",3226.24
Rio Grande,Colorado,"11,539",913.1
Routt,Colorado,"24,829",2362.11
Saguache,Colorado,"6,368",3168.32
San Juan,Colorado,705,388.99
San Miguel,Colorado,"8,072",1290.76
Sedgwick,Colorado,"2,404",548.83
Summit,Colorado,"31,055",618.92
Teller,Colorado,"24,710",558.58
Washington,Colorado,"4,817",2522.9
Weld,Colorado,"328,981",4013.84
Yuma,Colorado,"9,988",2369.61
Fairfield,Connecticut,"957,419",626
Hartford,Connecticut,"899,498",736
Litchfield,Connecticut,"185,186",920
Middlesex,Connecticut,"164,245",369
New Haven,Connecticut,"864,835",606
New London,Connecticut,"268,555",666
Tolland,Connecticut,"149,788",410
Windham,Connecticut,"116,418",513
Kent,Delaware,"181,851",800
New Castle,Delaware,"570,719",494
Sussex,Delaware,"237,378",1196
District of Columbia,District of Columbia,"689,545",68.34
Alachua,Florida,"278,468",874
Baker,Florida,"28,259",585
Bay,Florida,"175,216",764
Bradford,Florida,"28,203",293
Brevard,Florida,"606,612",1018
Broward,Florida,"1,944,375",1209
Calhoun,Florida,"13,648",567
Charlotte,Florida,"186,847",694
Citrus,Florida,"153,843",584
Clay,Florida,"218,245",601
Collier,Florida,"375,752",2026
Columbia,Florida,"69,698",797
DeSoto,Florida,"33,976",637
Dixie,Florida,"16,759",704
Duval,Florida,"995,567",774
Escambia,Florida,"321,905",664
Flagler,Florida,"115,378",485
Franklin,Florida,"12,451",534
Gadsden,Florida,"43,826",516
Gilchrist,Florida,"17,864",349
Glades,Florida,"12,126",774
Gulf,Florida,"14,192",565
Hamilton,Florida,"14,004",515
Hardee,Florida,"25,327",637
Hendry,Florida,"39,619",1153
Hernando,Florida,"194,515",478
Highlands,Florida,"101,235",1028
Hillsborough,Florida,"1,459,762",1051
Holmes,Florida,"19,653",482
Indian River,Florida,"159,788",503
Jackson,Florida,"47,319",916
Jefferson,Florida,"14,510",598
Lafayette,Florida,"8,226",543
Lake,Florida,"383,956",953
Lee,Florida,"760,822",804
Leon,Florida,"292,198",667
Levy,Florida,"42,915",1118
Liberty,Florida,"7,974",836
Madison,Florida,"17,968",692
Manatee,Florida,"399,710",741
Marion,Florida,"375,908",1579
Martin,Florida,"158,431",556
Miami-Dade,Florida,"2,701,767",1946
Monroe,Florida,"82,874",997
Nassau,Florida,"90,352",652
Okaloosa,Florida,"211,668",936
Okeechobee,Florida,"39,644",774
Orange,Florida,"1,429,908",908
Osceola,Florida,"388,656",1322
Palm Beach,Florida,"1,492,191",2034
Pasco,Florida,"561,891",745
Pinellas,Florida,"959,107",280
Polk,Florida,"725,046",1875
Putnam,Florida,"73,321",722
St. Johns,Florida,"273,425",609
St. Lucie,Florida,"329,226",572
Santa Rosa,Florida,"188,000",1016
Sarasota,Florida,"434,006",572
Seminole,Florida,"470,856",308
Sumter,Florida,"129,752",546
Suwannee,Florida,"43,474",688
Taylor,Florida,"21,796",1042
Union,Florida,"16,147",240
Volusia,Florida,"553,543",1106
Wakulla,Florida,"33,764",607
